1 1 1	0.9885985	0.003137056	0.9917355
1 1 2	0.9885985	0.006157173	0.9917355
1 1 3	0.9885985	0.008960005	0.9917355
1 1 4	0.9885985	0.011469488	0.9917355
1 1 5	0.9885985	0.013637017	0.9917355
1 1 6	0.9885985	0.015438267	0.9917355
1 1 7	0.9885985	0.016866715	0.9917355
1 1 8	0.9885985	0.017926462	0.9917355
1 1 9	0.9885985	0.018625958	0.9917355
1 1 10	0.9885985	0.018973316	0.9917355
1 1 11	0.9885985	0.018973316	0.9917355
1 1 12	0.9885985	0.018625958	0.9917355
1 1 13	0.9885985	0.017926462	0.9917355
1 1 14	0.9885985	0.016866715	0.9917355
1 1 15	0.9885985	0.015438267	0.9917355
1 1 16	0.9885985	0.013637017	0.9917355
1 1 17	0.9885985	0.011469488	0.9917355
1 1 18	0.9885985	0.008960005	0.9917355
1 1 19	0.9885985	0.006157173	0.9917355
1 1 20	0.9885985	0.003137056	0.9917355
1 2 1	0.9794706	0.012264923	0.9917355
1 2 2	0.9794706	0.012264923	0.9917355
1 2 3	0.9794706	0.012264923	0.9917355
1 2 4	0.9794706	0.012264923	0.9917355
1 2 5	0.9794706	0.012264923	0.9917355
1 2 6	0.9794706	0.012264923	0.9917355
1 2 7	0.9794706	0.012264923	0.9917355
1 2 8	0.9794706	0.012264923	0.9917355
1 2 9	0.9794706	0.012264923	0.9917355
1 2 10	0.9794706	0.012264923	0.9917355
1 2 11	0.9794706	0.012264923	0.9917355
1 2 12	0.9794706	0.012264923	0.9917355
1 2 13	0.9794706	0.012264923	0.9917355
1 2 14	0.9794706	0.012264923	0.9917355
1 2 15	0.9794706	0.012264923	0.9917355
1 2 16	0.9794706	0.012264923	0.9917355
1 2 17	0.9794706	0.012264923	0.9917355
1 2 18	0.9794706	0.012264923	0.9917355
1 2 19	0.9794706	0.012264923	0.9917355
1 2 20	0.9794706	0.012264923	0.9917355
1 3 1	0.9651947	0.026540873	0.9917355
1 3 2	0.9651947	0.026540873	0.9917355
1 3 3	0.9651947	0.026540873	0.9917355
1 3 4	0.9651947	0.026540873	0.9917355
1 3 5	0.9651947	0.026540873	0.9917355
1 3 6	0.9651947	0.026540873	0.9917355
